CUENTA,CUENTA,SUBCUENTA,AUTOMAT1,AUTOMAT2,MONEDA,TIPOANALISIS,TIPO CUENTA,TIPO,NIVEL,CUENTA BALANCE COMPARATIVO,AJUSTE CON VERSION CAMBIO,CONVERSION MONEDA
14,CUENTAS POR COBRAR AL PERSONAL- A LOS ACCIONISTAS (SOCIOS)- DIRECTORES Y GERENTES,1,          ,          ,1,0,1,1,1,0,1,1
141,PERSONAL,14,          ,          ,1,0,1,1,2,0,1,1
1411,PRESTAMOS,141,          ,          ,1,0,1,1,3,0,1,1
94814301,EQUIPO DE TRANSPORTE,948143,68143001,79110001,1,0,1,3,6,0,1,1
1412,ADELANTO DE REMUNERACIONES,141,          ,          ,1,0,1,1,3,0,1,1
94814201,MAQUINARIAS Y EQUIPOS DE EXPLOTACION,948142,68142001,79110001,1,0,1,3,6,0,1,1
1413,ENTREGAS A RENDIR CUENTA,141,          ,          ,1,0,1,1,3,0,1,1
94814101,EDIFICACIONES,948141,68141001,79110001,1,0,1,3,6,0,1,1
94813301,EQUIPO DE TRANSPORTE,948133,68133001,79110001,1,0,1,3,6,0,1,1
142,ACCIONISTAS (O SOCIOS),14,          ,          ,1,0,1,1,2,0,1,1
1421,SUSCRIPCIONES POR COBRAR A SOCIOS O ACCIONISTAS,142,          ,          ,1,0,1,1,3,0,1,1
94811101,EDIFICACIONES,948111,68111001,79110001,1,0,1,3,6,0,1,1
1422,PRESTAMOS A SOCIOS,142,          ,          ,1,0,1,1,3,0,1,1
94551501,ACTIVOS BIOLOGICOS,945515,65515001,79110001,1,0,1,3,6,0,1,1
1423,ENTREGAS A RENDIR CUENTAS,142,          ,          ,1,0,1,1,3,0,1,1
94551401,INTANGIBLES,945514,65514001,79110001,1,0,1,3,6,0,1,1
94551301,INMUEBLES- MAQUINARIA Y EQUIPO,945513,65513001,79110001,1,0,1,3,6,0,1,1
143,DIRECTORES,14,          ,          ,1,0,1,1,2,0,1,1
1433,DIRECTORES,143,          ,          ,1,0,1,1,3,0,1,1
94551201,ACTIVOS ADQUIRIDOS EN ARRENDAMIENTO FINANCIERO,945512,65512001,79110001,1,0,1,3,6,0,1,1
94551101,INVERSIONES INMOBILIARIAS,945511,65511001,79110001,1,0,1,3,6,0,1,1
144,GERENTES,14,          ,          ,1,0,1,1,2,0,1,1
1441,PRESTAMO A GERENCIA,144,          ,          ,1,0,1,1,3,0,1,1
94327101,OTROS SERVICIOS DIVERSOS,943271,63271001,79110001,1,0,1,3,6,0,1,1
94324101,COMISIONES,943241,63241001,79110001,1,0,1,3,6,0,1,1
1498,DIVERSAS,149,          ,          ,1,0,1,1,3,0,1,1
16,CUENTAS POR COBRAR DIVERSAS - TERCEROS,1,          ,          ,1,0,1,1,1,0,1,1
161,PRESTAMOS,16,          ,          ,1,0,1,1,2,0,1,1
1611,CON GARANTIA,161,          ,          ,1,0,1,1,3,0,1,1
16111,CONTRATO MUTUO,1611,          ,          ,1,0,1,1,4,0,1,1
94323101,ASESORIA CONTABLE,943231,63231001,79110001,1,0,1,3,6,0,1,1
94322101,ASESORIA LEGAL Y TRIBUTARIA,943221,63221001,79110001,1,0,1,3,6,0,1,1
1612,SIN GARANTIA,161,          ,          ,1,0,1,1,3,0,1,1
16121,PRESTAMOS A TERCEROS,1612,          ,          ,1,0,1,1,4,0,1,1
94321101,HONORARIOS ADMINISTRATIVOS,943211,63211001,79110001,1,0,1,3,6,0,1,1
94311201,MOVILIDAD URBANA,943112,63112101,79110001,1,0,1,3,6,0,1,1
162,RECLAMACIONES A TERCEROS,16,          ,          ,1,0,1,1,2,0,1,1
1621,COMPAÑIAS ASEGURADORAS,162,          ,          ,1,0,1,1,3,0,1,1
94311101,TRANSPORTE,943111,63111001,79110001,1,0,1,3,6,0,1,1
1622,TRANSPORTADORAS,162,          ,          ,1,0,1,1,3,0,1,1
1623,SERVICIOS PUBLICOS,162,          ,          ,1,0,1,1,3,0,1,1
94211201,SALARIOS,942112,62112001,79110001,1,0,1,3,6,0,1,1
1625,INSTITUCIONES BANCARIAS,162,          ,          ,1,0,1,1,3,0,1,1
94211101,SUELDO BASICO,942111,62111001,79110001,1,0,1,3,6,0,1,1
91823910,OTROS ACTIVOS INTANGIBLES,918239,68239,79110001,1,0,1,3,6,0,1,1
163,INTERESES- REGALIAS Y DIVIDENDOS,16,          ,          ,1,0,1,1,2,0,1,1
1631,INTERESES,163,          ,          ,1,0,1,1,3,0,1,1
91821301,SOFTWARE,918213,68213001,79110001,1,0,1,3,6,0,1,1
91821201,PATENTES Y PROPIEDAD INDUSTRIAL,918212,68212001,79110001,1,0,1,3,6,0,1,1
1632,RAGALIAS,163,          ,          ,1,0,1,1,3,0,1,1
1633,DIVIDENDOS,163,          ,          ,1,0,1,1,3,0,1,1
91821101,CONCESIONES,918211,68211001,79110001,1,0,1,3,6,0,1,1
91817201,DEPRECIACIÓN DE ACTIVOS BIOLOGICOS VEGETAL,918172,68172001,79110001,1,0,1,3,6,0,1,1
164,DEPOSITOS OTORGADOS EN GARANTIA,16,          ,          ,1,0,1,1,2,0,1,1
1641,PRESTAMOS DE INSTITUCIONES NO FINANCIERAS,164,          ,          ,1,0,1,1,3,0,1,1
91814501,EQUIPOS DIVERSOS,918145,68145001,79110001,1,0,1,3,6,0,1,1
1644,DEPOSITOS EN GARANTIA POR ALQUILERES,164,          ,          ,1,0,1,1,3,0,1,1
91814401,MUEBLES Y ENSERES,918144,68144001,79110001,1,0,1,3,6,0,1,1
165,VENTAS DE ACTIVO INMOVILIDADO,16,          ,          ,1,0,1,1,2,0,1,1
1651,INVERSION MOBILIARIA,165,          ,          ,1,0,1,1,3,0,1,1
91814301,EQUIPO DE TRANSPORTE,918143,68143001,79110001,1,0,1,3,6,0,1,1
1652,INVERSION INMOBILIARIA,165,          ,          ,1,0,1,1,3,0,1,1
91814201,MAQUINARIAS Y EQUIPOS DE EXPLOTACION,918142,68142001,79110001,1,0,1,3,6,0,1,1
1653,INMUEBLES MAQUINARIA Y EQUIPO,165,          ,          ,1,0,1,1,3,0,1,1
91814101,EDIFICACIONES,918141,68141001,79110001,1,0,1,3,6,0,1,1
1654,INTANGIBLES,165,          ,          ,1,0,1,1,3,0,1,1
1655,ACTIVOS BIOLOGICOS,165,          ,          ,1,0,1,1,3,0,1,1
166,ACTIVOS POR INSTRUMENTOS FINANCIEROS DERIVADOS,16,          ,          ,1,0,1,1,2,0,1,1
1661,INSTRUMENTOS FINANCIEROS PRIMARIAS,166,          ,          ,1,0,1,1,3,0,1,1
1662,INSTRUMENTOS FINANCIEROS DERIVADOS,166,          ,          ,1,0,1,1,3,0,1,1
168,OTRAS CUENTAS POR COBRAR DIVERSAS,16,          ,          ,1,0,1,1,2,0,1,1
1681,OTRAS CUENTAS POR COBRAR DIVERSAS,168,          ,          ,1,0,1,1,3,0,1,1
91813301,EQUIPO DE TRANSPORTE,918133,68133001,79110001,1,0,1,3,6,0,1,1
91811101,EDIFICACIONES,918111,68111001,79110001,1,0,1,3,6,0,1,1
91551501,ACTIVOS BIOLOGICOS,915515,65515001,79110001,1,0,1,3,6,0,1,1
169,COBRANZA DUDOSA,16,          ,          ,1,0,1,1,2,0,1,1
1691,PRESTAMOS,169,          ,          ,1,0,1,1,3,0,1,1
91551401,INTANGIBLES,915514,65514001,79110001,1,0,1,3,6,0,1,1
91551301,INMUEBLES- MAQUINARIA Y EQUIPO,915513,65513001,79110001,1,0,1,3,6,0,1,1
1692,RECLAMACIONES A TERCEROS,169,          ,          ,1,0,1,1,3,0,1,1
1693,INTERES- REGALIAS Y DIVIDENDOS,169,          ,          ,1,0,1,1,3,0,1,1
1694,DEPOSITOS OTORGADOS EN GARANTIA,169,          ,          ,1,0,1,1,3,0,1,1
1695,VENTA DE ACTIVOS INMOVILIDADOS,169,          ,          ,1,0,1,1,3,0,1,1
1698,OTRAS CUENTAS POR COBRAR DIVERSAS,169,          ,          ,1,0,1,1,3,0,1,1
17,CUENTAS POR COBRAR DIVERSAS - RELACIONADAS,1,          ,          ,1,0,1,1,1,0,1,1
171,PRESTAMOS,17,          ,          ,1,0,1,1,2,0,1,1
1712,SIN GARANTIA,171,          ,          ,1,0,1,1,3,0,1,1
91551201,ACTIVOS ADQUIRIDOS EN ARRENDAMIENTO FINANCIERO,915512,65512001,79110001,1,0,1,3,6,0,1,1
91551101,INVERSIONES INMOBILIARIAS,915511,65511001,79110001,1,0,1,3,6,0,1,1
173,INTERESES- REGALIAS Y DIVIDENDOS,17,          ,          ,1,0,1,1,2,0,1,1
1731,INTERESES,173,          ,          ,1,0,1,1,3,0,1,1
17311,MATRIZ,1731,          ,          ,1,0,1,1,4,0,1,1
17312,SUBSIDIARIAS,1731,          ,          ,1,0,1,1,4,0,1,1
17313,ASOCIADAS,1731,          ,          ,1,0,1,1,4,0,1,1
91327101,OTROS SERVICIOS DIVERSOS,913271,63271001,79110001,1,0,1,3,6,0,1,1
91324101,COMISIONES,913241,63241001,79110001,1,0,1,3,6,0,1,1
1733,DIVIDENDOS,173,          ,          ,1,0,1,1,3,0,1,1
17331,CASA MATRIZ,1733,          ,          ,1,0,1,1,4,0,1,1
91323101,ASESORIA CONTABLE,913231,63231001,79110001,1,0,1,3,6,0,1,1
176,ACTIVOS POR INSTRUMENTOS FINANCIEROS DERIVADOS,17,          ,          ,1,0,1,1,2,0,1,1
178,OTRAS CUENTAS POR COBRAR DIVERSAS,17,          ,          ,1,0,1,1,2,0,1,1
18,SERVICIOS Y OTROS CONTRATADOS POR ANTICIPADOS,1,          ,          ,1,0,1,1,1,0,1,1
181,COSTOS FINANCIEROS,18,          ,          ,1,0,1,1,2,0,1,1
1811,INTERESES PAGADOS POR ANTICIPADOS,181,          ,          ,1,0,1,1,3,0,1,1
91322101,ASESORIA LEGAL Y TRIBUTARIA,913221,63221001,79110001,1,0,1,3,6,0,1,1
91321101,HONORARIOS ADMINISTRATIVOS,913211,63211001,79110001,1,0,1,3,6,0,1,1
1812,INTERESES PAGADOS POR ANTICIPADOS LEASING,181,          ,          ,1,0,1,1,3,0,1,1
91311201,MOVILIDAD URBANA,913112,63112101,79110001,1,0,1,3,6,0,1,1
91311101,TRANSPORTE,913111,63111001,79110001,1,0,1,3,6,0,1,1
182,SEGUROS,18,          ,          ,1,0,1,1,2,0,1,1
1821,SEGUROS PAGADOS POR ANTICIPADOS,182,          ,          ,1,0,1,1,3,0,1,1
91211201,SALARIOS,912112,62112001,79110001,1,0,1,3,6,0,1,1
91211202,BONIFICACION UNIDA DE CONSTRUCCION,912112,62112002,79110001,1,0,1,3,6,0,1,1
1822,SOAT VEHICULAR,182,          ,          ,1,0,1,1,3,0,1,1
91211101,SUELDO BASICO,912111,62111001,79110001,1,0,1,3,6,0,1,1
183,ALQUILERES,18,          ,          ,1,0,1,1,2,0,1,1
1831,ALQUILERES PAGADOS POR ANTICIPADOS,183,          ,          ,1,0,1,1,3,0,1,1
97312001,INTERESES POR PRESTAMOS DE TERCEROS,97312,67311001,79110001,1,0,1,3,5,0,1,1
97312002,INTERES MORATORIOS,97312,67312002,79110001,1,0,1,3,5,0,1,1
184,PRIMAS PAGADAS POR OPCIONES,18,          ,          ,1,0,1,1,2,0,1,1
185,MANTENIMIENTO DE ACTIVOS INMOVILIZADOS,18,          ,          ,1,0,1,1,2,0,1,1
189,OTROS GASTOS CONTRATADOS POR ANTICIPADOS,18,          ,          ,1,0,1,1,2,0,1,1
1891,OTROS GASTOS CONTRATADOS POR ANTICIPADOS,189,          ,          ,1,0,1,1,3,0,1,1
97311001,INTERESES POR PRESTAMOS BANCARIOS,97311,67311001,79110001,1,0,1,3,5,0,1,1
97311002,INTERESES POR SOBREGIRO,97311,67311002,79110001,1,0,1,3,5,0,1,1
97111001,GASTOS POR PRESTAMOS BANCARIOS,97111,67111001,79110001,1,0,1,3,5,0,1,1
95593001,OTROS GASTOS,95593,65930001,79110001,1,0,1,3,5,0,1,1
95592001,SANCIONES ADMINISTRATIVAS,95592,65920001,79110001,1,0,1,3,5,0,1,1
95591001,DONACIONES,95591,65910001,79110001,1,0,1,3,5,0,1,1
19,ESTIMACION DE CUENTAS DE COBRANZA DUDOSA,1,          ,          ,1,0,1,1,1,0,1,1
191,CUENTAS POR COBRAR COMERCIALES - TERCEROS,19,          ,          ,1,0,1,1,2,0,1,1
1911,FACTURAS- BOLETAS Y OTROS COMPROBANTES POR COBRAR,191,          ,          ,1,0,1,1,3,0,1,1
95561001,SUMINISTROS,95561,65610001,79110001,1,0,1,3,5,0,1,1
1912,LETRAS POR COBRAR,191,          ,          ,1,0,1,1,3,0,1,1
95561011,FOTOCOPIAS,95561,65610001,79110001,1,0,1,3,5,0,1,1
192,CUENTAS POR COBRAR AL PERSONAL- A LOS ACCIONISTAS (SOCIOS)- DIRECTORES Y GERENTES,19,          ,          ,1,0,1,1,2,0,1,1
1921,PERSONAL,192,          ,          ,1,0,1,1,3,0,1,1
95561012,DIARIOS Y REVISTAS,95561,65610001,79110001,1,0,1,3,5,0,1,1
1922,ACCIONISTAS (O SOCIOS),192,          ,          ,1,0,1,1,3,0,1,1
95561013,UTILES E INSUMOS DE ESCRITORIO,95561,65610001,79110001,1,0,1,3,5,0,1,1
1923,DIRECTORES,192,          ,          ,1,0,1,1,3,0,1,1
1924,GERENTES,192,          ,          ,1,0,1,1,3,0,1,1
95561014,TALONARIOS DE FACTURAS- BOLETAS Y OTROS,95561,65610001,79110001,1,0,1,3,5,0,1,1
1929,DIVERSAS,192,          ,          ,1,0,1,1,3,0,1,1
193,CUENTAS POR COBRAR - RELACIONADAS,19,          ,          ,1,0,1,1,2,0,1,1
1931,CUENTAS POR COBRAR COMERCIALES,193,          ,          ,1,0,1,1,3,0,1,1
19311,FACTURAS- BOLETAS Y OTROS COMPROBANTES POR COBRAR,1931,          ,          ,1,0,1,1,4,0,1,1
95561015,UTILES DE LIMPIEZA,95561,65610001,79110001,1,0,1,3,5,0,1,1
19312,LETRAS POR COBRAR,1931,          ,          ,1,0,1,1,4,0,1,1
95561016,UNIFORMES- BOTAS Y OTROS,95561,65610001,79110001,1,0,1,3,5,0,1,1
1932,CUENTAS POR COBRAR DIVERSAS,193,          ,          ,1,0,1,1,3,0,1,1
19321,PRESTAMOS,1932,          ,          ,1,0,1,1,4,0,1,1
95561017,COMBUSTIBLES Y LUBRICANTES,95561,65610001,79110001,1,0,1,3,5,0,1,1
19322,INTERESES- REGALIAS Y DIVIDENDOS,1932,          ,          ,1,0,1,1,4,0,1,1
19323,DEPOSITOS OTORGADOS EN GARANTIA,1932,          ,          ,1,0,1,1,4,0,1,1
19324,VENTA DE ACTIVOS INMOVILIDADOS,1932,          ,          ,1,0,1,1,4,0,1,1
19328,OTRAS CUENTAS POR COBRAR DIVERSAS,1932,          ,          ,1,0,1,1,4,0,1,1
95561018,ARTICULOS DE FERRETERIA,95561,65610001,79110001,1,0,1,3,5,0,1,1
194,CUENTAS POR COBRAR DIVERSAS - TERCEROS,19,          ,          ,1,0,1,1,2,0,1,1
1941,PRESTAMOS,194,          ,          ,1,0,1,1,3,0,1,1
95561019,ARTICULOS DE SEGURIDAD,95561,65610001,79110001,1,0,1,3,5,0,1,1
1942,RECLAMACIONES A TERCEROS,194,          ,          ,1,0,1,1,3,0,1,1
1943,INTERESES- REGALIAS Y DIVIDENDOS,194,          ,          ,1,0,1,1,3,0,1,1
1944,DEPOSITOS OTORGADOS EN GARANTIA,194,          ,          ,1,0,1,1,3,0,1,1
1945,VENTA DE ACTIVOS INMOVILIDADOS,194,          ,          ,1,0,1,1,3,0,1,1
1949,OTRAS CUENTAS POR COBRAR DIVERSAS,194,          ,          ,1,0,1,1,3,0,1,1
95561020,EXTINTORES,95561,65610001,79110001,1,0,1,3,5,0,1,1
196,CUENTAS POR COBRAR DIVERSAS,19,          ,          ,1,0,1,1,2,0,1,1
2,ACTIVO REALIZABLE,2,          ,          ,1,0,1,1,0,0,1,1
20,MERCADERIAS,2,          ,          ,1,0,1,1,1,0,1,1
201,MERCADERIAS MANUFACTURADAS,20,          ,          ,1,0,1,1,2,0,1,1
2011,MERCADERIAS MANUFACTURADAS,201,          ,          ,1,0,1,1,3,0,1,1
95561601,APORTES,95561,65610001,79110001,1,0,1,3,5,0,1,1
20112,VALOR RAZONABLE,2011,          ,          ,1,0,1,1,4,0,1,1
202,MERCADERIAS DE EXTRACCION,20,          ,          ,1,0,1,1,2,0,1,1
203,MERCADERIAS AGROPECUARIAS Y PISCICOLAS,20,          ,          ,1,0,1,1,2,0,1,1
204,MERCADERIAS INMUEBLES,20,          ,          ,1,0,1,1,2,0,1,1
2041,MERCADERIAS INMUEBLES,204,          ,          ,1,0,1,1,3,0,1,1
95531001,SUSCRIPCIONES,95531,65310001,79110001,1,0,1,3,5,0,1,1
208,OTRAS MERCADERIAS,20,          ,          ,1,0,1,1,2,0,1,1
209,MERCADERIAS DEVALORIZADAS,20,          ,          ,1,0,1,1,2,0,1,1
2091,MERCADERIAS MANUFACTURADAS,209,          ,          ,1,0,1,1,3,0,1,1
2092,RECURSOS EXTRAIDOS,209,          ,          ,1,0,1,1,3,0,1,1
2093,PRODUCTOS AGROPECUARIOS Y PISCICOLAS,209,          ,          ,1,0,1,1,3,0,1,1
2094,INMUEBLES,209,          ,          ,1,0,1,1,3,0,1,1
2098,OTRAS MERCADERIAS,209,          ,          ,1,0,1,1,3,0,1,1
21,PRODUCTOS TERMINADOS,2,          ,          ,1,0,1,1,1,0,1,1
211,PRODUCTOS MANUFACTURADOS,21,          ,          ,1,0,1,1,2,0,1,1
2111,PRODUCTOS TERMINADOS,211,          ,          ,1,0,1,1,3,0,1,1
95521001,REGALIAS,95521,65210001,79110001,1,0,1,3,5,0,1,1
212,PRODUCTOS DE EXTRACCION TERMINADOS,21,          ,          ,1,0,1,1,2,0,1,1
213,PRODUCTOS AGROPECUARIOS Y PISCICOLAS TERMINADOS,21,          ,          ,1,0,1,1,2,0,1,1
2131,DE ORIGEN ANIMAL,213,          ,          ,1,0,1,1,3,0,1,1
21311,COSTO,2131,          ,          ,1,0,1,1,4,0,1,1
21312,VALOR RAZONABLE,2131,          ,          ,1,0,1,1,4,0,1,1
2132,DE ORIGEN VEGETAL,213,          ,          ,1,0,1,1,3,0,1,1
21321,COSTO,2132,          ,          ,1,0,1,1,4,0,1,1
21322,VALOR RAZONABLE,2132,          ,          ,1,0,1,1,4,0,1,1
95511001,SEGUROS,95511,65110001,79110001,1,0,1,3,5,0,1,1
214,PRODUCTOS INMUEBLES,21,          ,          ,1,0,1,1,2,0,1,1
2141,INMUEBLES TERMINADOS,214,          ,          ,1,0,1,1,3,0,1,1
95443001,OTROS TRIBUTOS,95443,64430001,79110001,1,0,1,3,5,0,1,1
95442001,SENCICO,95442,64420001,79110001,1,0,1,3,5,0,1,1
95439001,OTROS TRIBUTOS MUNICIPALES,95439,64390001,79110001,1,0,1,3,5,0,1,1
95434001,LICENCIAS DE FUNCIONAMIENTO,95434,64340001,79110001,1,0,1,3,5,0,1,1
215,EXISTENCIAS DE SERVICIOS TERMINADOS,21,          ,          ,1,0,1,1,2,0,1,1
95433001,IMPUESTO VEHICULAR,95433,64330001,79110001,1,0,1,3,5,0,1,1
217,OTROS PRODUCTOS TERMINADOS,21,          ,          ,1,0,1,1,2,0,1,1
218,COSTO DE FIANCIACION - PRODUCTOS TERMINADOS,21,          ,          ,1,0,1,1,2,0,1,1
219,PRODUCTOS TERMINADOS DESVALORIZADOS,21,          ,          ,1,0,1,1,2,0,1,1
2191,PRODUCTOS MANUFACTURADOS,219,          ,          ,1,0,1,1,3,0,1,1
2192,PRODUCTOS DE EXTRACCION TERMINADOS,219,          ,          ,1,0,1,1,3,0,1,1
